,t,T,s,i,f,L,o,c,h,l,v,n,x,q,V,Q,B,ma
174,1642029300000,1642029599999,ETHUSDT,5m,729234571,729235757,3364.43000000,3366.17,3368.00000000,3364.18000000,411.55180000,1187,True,1385457.48750400,185.08620000,623065.09905500,0,3375.4256
175,1642029600000,1642029899999,ETHUSDT,5m,729235758,729237293,3366.12000000,3370.05,3371.76000000,3365.96000000,709.09810000,1536,True,2389296.95236000,444.17870000,1496584.72283000,0,3375.4703999999997
176,1642029900000,1642030199999,ETHUSDT,5m,729237294,729238844,3370.04000000,3367.63,3371.13000000,3365.01000000,690.17700000,1551,True,2324433.71361500,316.33860000,1065372.02779600,0,3375.4806
177,1642030200000,1642030499999,ETHUSDT,5m,729238845,729240436,3367.62000000,3375.22,3376.91000000,3367.62000000,578.15050000,1592,True,1950489.13176100,359.26050000,1212082.64404300,0,3375.5566
178,1642030500000,1642030799999,ETHUSDT,5m,729240437,729241846,3375.09000000,3374.92,3378.85000000,3374.02000000,647.50610000,1410,True,2186254.01703100,190.96900000,644877.97250300,0,3375.4676
179,1642030800000,1642031099999,ETHUSDT,5m,729241847,729242959,3374.92000000,3375.59,3377.00000000,3374.03000000,588.91480000,1113,True,1987870.25963600,288.57920000,974128.59391400,0,3375.4828
180,1642031100000,1642031399999,ETHUSDT,5m,729242960,729244242,3375.60000000,3372.74,3376.80000000,3372.47000000,619.65710000,1283,True,2091194.31056600,304.07030000,1026231.37603000,0,3375.3607999999995
181,1642031400000,1642031699999,ETHUSDT,5m,729244243,729245606,3372.73000000,3369.79,3373.58000000,3368.61000000,650.50690000,1364,True,2192894.37104500,323.87690000,1091823.91008200,0,3375.321
182,1642031700000,1642031999999,ETHUSDT,5m,729245607,729246800,3369.79000000,3371.26,3372.72000000,3368.49000000,517.31540000,1194,True,1743406.72120000,272.42940000,918103.59593400,0,3375.2736000000004
183,1642032000000,1642032299999,ETHUSDT,5m,729246801,729250687,3371.60000000,3381.58,3382.70000000,3367.39000000,2916.60360000,3887,True,9844184.46385100,1651.39580000,5570607.99951600,0,3375.2909999999997
184,1642032300000,1642032599999,ETHUSDT,5m,729250688,729255226,3381.58000000,3378.25,3384.56000000,3377.50000000,2590.54260000,4539,True,8757609.59410600,876.61090000,2964006.09679900,0,3375.2156
185,1642032600000,1642032899999,ETHUSDT,5m,729255227,729256894,3378.50000000,3373.22,3378.50000000,3370.00000000,820.21270000,1668,True,2767169.58575200,447.85140000,1510834.09396300,0,3375.0598
186,1642032900000,1642033199999,ETHUSDT,5m,729256895,729258279,3373.21000000,3371.11,3374.92000000,3370.08000000,843.76350000,1385,True,2845821.10678200,482.91770000,1628888.64534400,0,3374.9586000000004
187,1642033200000,1642033499999,ETHUSDT,5m,729258280,729259607,3371.11000000,3371.55,3371.88000000,3368.16000000,865.83750000,1328,True,2917585.08012300,416.72350000,1404191.04190400,0,3374.8056
188,1642033500000,1642033799999,ETHUSDT,5m,729259608,729260800,3371.55000000,3371.83,3376.57000000,3370.87000000,638.32510000,1193,True,2153157.59634100,390.43260000,1317182.28815500,0,3374.6402
189,1642033800000,1642034099999,ETHUSDT,5m,729260801,729262099,3371.83000000,3373.69,3374.45000000,3368.09000000,718.01260000,1299,True,2420841.59071000,403.85570000,1361645.01104400,0,3374.5886
190,1642034100000,1642034399999,ETHUSDT,5m,729262100,729263552,3373.70000000,3371.09,3375.60000000,3371.00000000,960.67620000,1453,True,3240157.19132900,496.33940000,1674073.54244300,0,3374.5506
191,1642034400000,1642034699999,ETHUSDT,5m,729263553,729265039,3371.05000000,3364.07,3371.94000000,3363.73000000,760.67850000,1487,True,2562206.70602400,310.53120000,1045876.32094400,0,3374.4246
192,1642034700000,1642034999999,ETHUSDT,5m,729265040,729266739,3364.08000000,3358.99,3367.34000000,3358.56000000,889.64370000,1700,True,2991792.68317300,339.48710000,1141951.77351900,0,3374.2660000000005
193,1642035000000,1642035299999,ETHUSDT,5m,729266740,729269850,3358.99000000,3353.55,3359.00000000,3350.21000000,1330.82440000,3111,True,4464563.02669800,500.95970000,1680478.61281400,0,3373.9032
194,1642035300000,1642035599999,ETHUSDT,5m,729269851,729272336,3353.55000000,3353.75,3354.94000000,3348.31000000,933.89760000,2486,True,3129304.44879300,469.09140000,1571777.71592000,0,3373.4035999999996
195,1642035600000,1642035899999,ETHUSDT,5m,729272337,729274312,3353.76000000,3351.83,3358.44000000,3349.46000000,873.84090000,1976,True,2931552.11192900,470.77990000,1579238.73923800,0,3372.67
196,1642035900000,1642036199999,ETHUSDT,5m,729274313,729275675,3351.84000000,3355.0,3357.27000000,3350.00000000,446.49870000,1363,True,1497554.99666700,278.19110000,932986.85623400,0,3372.1304
197,1642036200000,1642036499999,ETHUSDT,5m,729275676,729277351,3354.99000000,3359.31,3362.39000000,3354.30000000,708.79270000,1676,True,2381314.66896300,441.75830000,1484216.50508800,0,3371.7181999999993
198,1642036500000,1642036799999,ETHUSDT,5m,729277352,729278799,3359.30000000,3357.95,3361.65000000,3356.58000000,555.31050000,1448,True,1865151.42166300,353.81080000,1188480.65574900,0,3371.1894
199,1642036800000,1642037099999,ETHUSDT,5m,729278800,729280319,3357.95000000,3352.39,3358.79000000,3351.77000000,661.99920000,1520,True,2220520.22822200,328.75340000,1102703.02953700,0,3370.4872000000005
200,1642037100000,1642037399999,ETHUSDT,5m,729280320,729282917,3352.39000000,3345.3,3353.20000000,3341.54000000,1090.97800000,2598,True,3650500.46758500,463.71630000,1551639.49823200,0,3369.5268
201,1642037400000,1642037699999,ETHUSDT,5m,729282918,729285621,3345.31000000,3340.33,3349.29000000,3340.26000000,1008.15250000,2704,True,3371704.58810000,427.16170000,1428816.50512600,0,3368.205
202,1642037700000,1642037999999,ETHUSDT,5m,729285622,729289820,3340.33000000,3338.2,3341.90000000,3331.05000000,1711.14850000,4199,True,5707354.61004300,732.21960000,2442127.57060000,0,3367.0692
203,1642038000000,1642038299999,ETHUSDT,5m,729289821,729291546,3338.20000000,3333.87,3338.48000000,3332.84000000,645.73040000,1726,True,2154513.90352200,331.11610000,1104817.69661900,0,3366.1784
204,1642038300000,1642038599999,ETHUSDT,5m,729291547,729293820,3333.86000000,3339.88,3341.81000000,3332.25000000,835.73920000,2274,True,2788869.89788200,522.81160000,1744684.72069800,0,3365.5106
205,1642038600000,1642038899999,ETHUSDT,5m,729293821,729295315,3339.87000000,3338.6,3343.80000000,3337.48000000,455.96060000,1495,True,1523151.18368600,268.08210000,895584.73937900,0,3364.8646000000003
206,1642038900000,1642039199999,ETHUSDT,5m,729295316,729296943,3338.60000000,3333.81,3340.51000000,3333.33000000,1203.09790000,1628,True,4013857.51218700,485.03300000,1618576.81209600,0,3364.0564
207,1642039200000,1642039499999,ETHUSDT,5m,729296944,729298586,3333.80000000,3338.92,3341.05000000,3333.66000000,798.98080000,1643,True,2666757.75383100,460.13140000,1535771.96893700,0,3363.3522
208,1642039500000,1642039799999,ETHUSDT,5m,729298587,729299928,3338.92000000,3332.61,3338.93000000,3331.93000000,541.78730000,1342,True,1807382.18253700,244.28950000,814787.05520900,0,3362.6718
209,1642039800000,1642040099999,ETHUSDT,5m,729299929,729301275,3332.61000000,3340.3,3341.17000000,3332.46000000,508.27550000,1347,True,1696404.74171200,352.51140000,1176650.67762200,0,3362.1577999999995
210,1642040100000,1642040399999,ETHUSDT,5m,729301276,729302452,3340.30000000,3342.3,3345.00000000,3339.45000000,351.28280000,1177,True,1174195.33230800,225.31190000,753103.23572100,0,3361.663
211,1642040400000,1642040699999,ETHUSDT,5m,729302453,729303581,3342.30000000,3342.25,3344.65000000,3342.05000000,389.46780000,1129,True,1301958.45231900,223.63840000,747582.24126400,0,3361.0694
212,1642040700000,1642040999999,ETHUSDT,5m,729303582,729304725,3342.25000000,3338.4,3343.30000000,3338.40000000,374.66300000,1144,True,1251994.60620200,252.19190000,842727.46065700,0,3360.3336
213,1642041000000,1642041299999,ETHUSDT,5m,729304726,729305774,3338.40000000,3344.91,3345.00000000,3338.28000000,463.97290000,1049,True,1551224.42832500,329.92430000,1103073.82059900,0,3359.6890000000003
214,1642041300000,1642041599999,ETHUSDT,5m,729305775,729306621,3344.91000000,3343.71,3345.00000000,3342.04000000,269.06880000,847,True,899735.61514700,146.06040000,488418.62854500,0,3358.9916
215,1642041600000,1642041899999,ETHUSDT,5m,729306622,729307660,3343.72000000,3342.01,3347.27000000,3341.49000000,401.39190000,1039,True,1342397.16040900,212.36550000,710236.79643500,0,3358.2166
216,1642041900000,1642042199999,ETHUSDT,5m,729307661,729309507,3342.00000000,3334.36,3343.19000000,3331.60000000,979.45900000,1847,True,3268005.23316300,332.92970000,1110811.51680700,0,3357.3073999999997
217,1642042200000,1642042499999,ETHUSDT,5m,729309508,729310797,3334.35000000,3335.12,3337.73000000,3333.43000000,485.11540000,1290,True,1618108.41997400,241.71450000,806323.69448700,0,3356.5865999999996
218,1642042500000,1642042799999,ETHUSDT,5m,729310798,729312231,3335.12000000,3335.07,3338.52000000,3334.00000000,916.06640000,1434,True,3055573.89430900,384.90380000,1284040.70112800,0,3355.9352000000003
219,1642042800000,1642043099999,ETHUSDT,5m,729312232,729314342,3335.07000000,3335.96,3340.78000000,3331.49000000,760.65700000,2111,True,2538183.15328500,480.99020000,1605123.20599600,0,3355.3744
220,1642043100000,1642043399999,ETHUSDT,5m,729314343,729318070,3335.97000000,3324.42,3336.57000000,3322.74000000,1361.41800000,3728,True,4532618.43054500,531.91870000,1770602.61218100,0,3354.6047999999996
221,1642043400000,1642043699999,ETHUSDT,5m,729318071,729321966,3324.41000000,3316.85,3325.43000000,3316.08000000,1720.86710000,3896,True,5714541.44691300,880.48400000,2924148.05769100,0,3353.7438
222,1642043700000,1642043999999,ETHUSDT,5m,729321967,729326371,3316.85000000,3319.59,3321.59000000,3310.00000000,2497.39270000,4405,True,8284207.87143800,619.41720000,2055352.69457700,0,3352.8746
223,1642044000000,1642044299999,ETHUSDT,5m,729326372,729328534,3319.59000000,3322.07,3324.09000000,3317.38000000,885.88210000,2163,True,2941319.58246400,520.01830000,1726628.54931100,0,3352.0274
224,1642044300000,1642044599999,ETHUSDT,5m,729328535,729330648,3322.07000000,3319.11,3323.74000000,3318.84000000,1146.50480000,2114,True,3807384.00895700,434.86690000,1444269.05296500,0,3351.0861999999997
225,1642044600000,1642044899999,ETHUSDT,5m,729330649,729333556,3319.10000000,3327.35,3330.50000000,3316.81000000,1174.98370000,2908,True,3905676.54671400,760.21550000,2526963.39311000,0,3350.2322000000004
226,1642044900000,1642045199999,ETHUSDT,5m,729333557,729335090,3327.36000000,3331.48,3333.00000000,3327.35000000,563.62320000,1534,True,1877488.37715100,207.53080000,691273.88741300,0,3349.5092000000004
227,1642045200000,1642045499999,ETHUSDT,5m,729335091,729336707,3331.48000000,3335.0,3335.00000000,3329.60000000,580.61280000,1617,True,1934650.21912000,295.98410000,986369.31654400,0,3348.7048000000004
228,1642045500000,1642045799999,ETHUSDT,5m,729336708,729338383,3335.00000000,3337.45,3340.00000000,3334.40000000,531.41880000,1676,True,1773450.92768000,269.60430000,899676.22854400,0,3347.9554
229,1642045800000,1642046099999,ETHUSDT,5m,729338384,729339679,3337.44000000,3336.7,3337.45000000,3334.46000000,432.00860000,1296,True,1441020.67163700,232.01530000,773916.87999500,0,3347.1776
230,1642046100000,1642046399999,ETHUSDT,5m,729339680,729340796,3336.71000000,3338.04,3338.09000000,3335.31000000,417.32240000,1117,True,1392417.40254400,240.13120000,801229.40528600,0,3346.4836000000005
231,1642046400000,1642046699999,ETHUSDT,5m,729340797,729342964,3338.03000000,3343.22,3345.35000000,3336.60000000,750.54830000,2168,True,2508943.48333900,476.06040000,1591254.69684300,0,3345.9521999999997
232,1642046700000,1642046999999,ETHUSDT,5m,729342965,729345082,3343.46000000,3344.33,3345.26000000,3342.24000000,830.65950000,2118,True,2777292.52481800,285.72940000,955390.20138400,0,3345.4136
